准确性权重,连续等待权重,不稳定权重,胜出方案,最小综合风险
0.04,0.71,0.25,15/18,0.17714975899913232
0.04,0.72,0.24,15/18,0.17729566590121898
0.04,0.73,0.22999999999999998,15/18,0.17744157280330566
0.04,0.74,0.21999999999999997,15/18,0.17758747970539232
0.04,0.75,0.20999999999999996,15/18,0.177733386607479
0.04,0.76,0.19999999999999996,15/18,0.17787929350956572
0.04,0.77,0.18999999999999995,15/18,0.17802520041165237
0.04,0.78,0.17999999999999994,15/18,0.17817110731373906
0.04,0.79,0.16999999999999993,15/18,0.17831701421582571
0.04,0.8,0.15999999999999992,15/18,0.1784629211179124
0.04,0.81,0.1499999999999999,15/18,0.17860882801999908
