repeat,target,metric,value
15,T21,precision,0.016786570743405275
15,T21,f2,0.07865168539325842
15,T21,pr_auc,0.14362146865340164
15,T21,roc_auc,0.7720678632898943
15,T21,brier,0.011736057204510155
15,any,sensitivity,0.9508196721311475
15,any,specificity,0.41366223908918404
15,any,precision,0.15803814713896458
15,any,f2,0.4746317512274959
15,any,pr_auc,0.4916860227308003
15,any,roc_auc,0.843157992969795
15,any,brier,0.07590698828410128
15,z3_T13,sensitivity,0.04
15,z3_T13,specificity,0.9786856127886323
15,z3_T13,precision,0.07692307692307693
15,z3_T13,f2,0.04424778761061947
15,z3_T13,pr_auc,0.06640862877999744
