outer_fold,label,feature,importance
3,T18,原始读段数,0.05892897769808769
3,T18,在参考基因组上比对的比例,0.0290740467607975
3,T18,重复读段的比例,0.03025750070810318
3,T18,唯一比对的读段数,0.0
3,T18,GC含量,0.01600237376987934
3,T18,13号染色体的Z值,0.029866326600313187
3,T18,18号染色体的Z值,0.041469164192676544
3,T18,21号染色体的Z值,0.012219532392919064
3,T18,X染色体的Z值,0.031114650890231133
3,T18,X染色体浓度,0.09173797816038132
3,T18,13号染色体的GC含量,0.07176829129457474
3,T18,18号染色体的GC含量,0.027692154049873352
3,T18,21号染色体的GC含量,0.03425406292080879
3,T18,被过滤掉读段数的比例,0.03150317445397377
3,T18,怀孕次数,0.0
3,T18,生产次数,0.002873778808861971
3,T18,BMI缺失,0.0
3,T18,abs_Z13,0.010753407143056393
3,T18,GC偏离_13,0.06417850404977798
3,T18,abs_Z18,0.013159853406250477
3,T18,GC偏离_18,0.045493289828300476
3,T18,abs_Z21,0.027458563446998596
3,T18,GC偏离_21,0.007177465129643679
3,T18,最大绝对目标Z,0.03234870359301567
3,T18,目标Z极差,0.04018288850784302
3,T18,唯一读段占比,0.018066180869936943
3,T18,IVF_试管,0.0
3,T21,年龄,0.05169890448451042
3,T21,身高,0.0375775545835495
3,T21,体重,0.0033635785803198814
3,T21,孕妇BMI,0.028520826250314713
3,T21,孕周_周,0.04430104419589043
3,T21,检测抽血次数,0.0
3,T21,原始读段数,0.02423715963959694
3,T21,在参考基因组上比对的比例,0.03601907938718796
3,T21,重复读段的比例,0.020172735676169395
3,T21,唯一比对的读段数,0.04367811605334282
3,T21,GC含量,0.04522888362407684
3,T21,13号染色体的Z值,0.02387922629714012
3,T21,18号染色体的Z值,0.048193808645009995
3,T21,21号染色体的Z值,0.02499411255121231
3,T21,X染色体的Z值,0.04202132299542427
3,T21,X染色体浓度,0.029980741441249847
3,T21,13号染色体的GC含量,0.04272341728210449
3,T21,18号染色体的GC含量,0.009708612225949764
3,T21,21号染色体的GC含量,0.032824691385030746
3,T21,被过滤掉读段数的比例,0.031016375869512558
3,T21,怀孕次数,0.038016967475414276
3,T21,生产次数,0.05478717014193535
3,T21,BMI缺失,0.0
3,T21,abs_Z13,0.04224928095936775
3,T21,GC偏离_13,0.03361935168504715
3,T21,abs_Z18,0.018047429621219635
3,T21,GC偏离_18,0.0246975626796484
3,T21,abs_Z21,0.01880257949233055
3,T21,GC偏离_21,0.034140150994062424
3,T21,最大绝对目标Z,0.04246152564883232
3,T21,目标Z极差,0.02088307775557041
3,T21,唯一读段占比,0.05215470492839813
3,T21,IVF_试管,0.0
3,any,年龄,0.046235404908657074
3,any,身高,0.02881375141441822
3,any,体重,0.026858430355787277
3,any,孕妇BMI,0.035567283630371094
3,any,孕周_周,0.027116117998957634
3,any,检测抽血次数,0.03144727647304535
3,any,原始读段数,0.023431899026036263
3,any,在参考基因组上比对的比例,0.005756624974310398
3,any,重复读段的比例,0.032808609306812286
3,any,唯一比对的读段数,0.019413378089666367
3,any,GC含量,0.02071208320558071
3,any,13号染色体的Z值,0.016370827332139015
3,any,18号染色体的Z值,0.035536982119083405
3,any,21号染色体的Z值,0.03574049100279808
3,any,X染色体的Z值,0.03425406292080879
3,any,X染色体浓度,0.0716932937502861
3,any,13号染色体的GC含量,0.05933281034231186
3,any,18号染色体的GC含量,0.05746901407837868
3,any,21号染色体的GC含量,0.07230762392282486
3,any,被过滤掉读段数的比例,0.0214968491345644
3,any,怀孕次数,0.02382701076567173
3,any,生产次数,0.03987247124314308
3,any,BMI缺失,0.0
3,any,abs_Z13,0.03039420023560524
3,any,GC偏离_13,0.043262988328933716
3,any,abs_Z18,0.034090444445610046
3,any,GC偏离_18,0.030256276950240135
3,any,abs_Z21,0.0
3,any,GC偏离_21,0.024614965543150902
3,any,最大绝对目标Z,0.018205983564257622
3,any,目标Z极差,0.024292809888720512
3,any,唯一读段占比,0.028820032253861427
3,any,IVF_试管,0.0
