重复,胜出方案,两组平均孕周,三组平均孕周,三组减两组_平均孕周,两组最低审计达标概率,三组最低审计达标概率,三组减两组_最低审计概率
168,参数AFT两组,15.112894596040645,15.050294275013359,-0.0626003210272863,0.8951632632499428,0.8949457479169918,-0.00021751533295100156
169,参数AFT两组,15.410379882289977,15.371856607811646,-0.03852327447833126,0.8961517973860673,0.8991361644341233,0.002984367048055936
170,参数AFT两组,15.035313001605118,15.019261637239147,-0.01605136436597121,0.8909754423347318,0.8990724103194668,0.008096967984735026
171,树AFT三组,15.451043338683771,15.490101658640965,0.03905831995719389,0.889786372283443,0.899055547341856,0.00926917505841296
172,参数AFT两组,15.110754414125184,15.072766185125719,-0.03798822899946508,0.8931178113160761,0.8972523649051977,0.004134553589121515
173,树AFT三组,15.409844836811109,15.409309791332248,-0.0005350454788608516,0.8879605734886303,0.8988970834973556,0.010936510008725309
174,树AFT三组,15.490101658640965,15.482075976457981,-0.008025682182983829,0.88817552930999,0.8978935573304806,0.009718028020490599
175,树AFT三组,15.049759229534494,15.043338683788104,-0.006420545746390616,0.8886228967997859,0.8986431019711908,0.010020205171404895
176,参数AFT两组,15.290529695024059,15.25040128410913,-0.0401284109149298,0.892112294392448,0.897743708273394,0.005631413880946012
177,树AFT三组,15.407704654895646,15.428571428571413,0.020866773675766837,0.8885267970480895,0.9000329500750512,0.011506153026961785
178,参数AFT两组,14.889245585874786,14.953986088817533,0.06474050294274747,0.8948157167920705,0.9000306419469143,0.005214925154843786
179,树AFT三组,15.093097913322612,15.101658640984466,0.008560727661853562,0.8882341258657478,0.8997252059370692,0.01149108007132138
180,树AFT三组,15.207062600321008,15.186195826645246,-0.020866773675761507,0.8888401049326433,0.8978149593458102,0.008974854413166922
181,树AFT三组,15.382022471910092,15.471375066880665,0.08935259497057224,0.8861360679345095,0.8965749080865975,0.010438840152087958
182,参数AFT两组,15.112894596040645,15.09791332263241,-0.014981273408235296,0.8932264187898747,0.9005122301539287,0.007285811364053929
183,参数AFT两组,15.279293739967878,15.265917602996238,-0.013376136971640307,0.8918906508288509,0.896556862489121,0.0046662116602701476
184,参数AFT两组,15.194221508828234,15.169074371321543,-0.025147137506690953,0.8962223803054058,0.8991241147228342,0.002901734417428359
185,树AFT三组,14.922953451043321,14.91064740502941,-0.012306046013911498,0.8886385604756535,0.8999953993099058,0.011356838834252314
186,参数AFT两组,14.98073836276082,15.003210272873176,0.022471910112356497,0.890911484546484,0.9002921265856652,0.009380642039181208
