重复,袋外人数,存在方案,胜出组数,胜出切点,胜出推荐孕周,胜出开发平均孕周,袋外平均检测孕周,袋外总体达标概率,袋外政策组最低均值,袋外政策组最低保守下限,袋外审计层最低均值,袋外审计层最低保守下限,袋外均值安全,袋外保守下限安全,袋外政策组人数,袋外审计层人数,袋外政策组均值,袋外政策组保守下限,袋外审计层均值,袋外审计层保守下限
474,103,True,2,35.795244,18|24,18.674157303370787,18.58252427184466,0.9505994226124277,0.9496404390967382,0.9446913157617947,0.9374028649667159,0.9264881887928841,True,True,93|10,34|13|25|31,0.949640|0.959518,0.944691|0.951167,0.958948|0.958661|0.951417|0.937403,0.952843|0.950139|0.944236|0.926488
475,96,True,2,35.817449,18|23,18.617977528089888,18.3125,0.9545881316913317,0.9442362254232973,0.9287494315146965,0.9323798177682195,0.9198972280631529,True,True,90|6,33|28|17|18,0.955278|0.944236,0.950827|0.928749,0.962200|0.964816|0.946481|0.932380,0.957420|0.961862|0.933029|0.919897
476,99,True,2,35.676651,18|23,18.56179775280899,18.707070707070706,0.9522073466498675,0.9486284729131281,0.9393897810991967,0.9425001986184337,0.933340864590642,True,True,85|14,16|20|34|29,0.952797|0.948628,0.948369|0.939390,0.961036|0.959619|0.951972|0.942500,0.954901|0.951893|0.945820|0.933341
477,91,True,2,35.817449,18|23,18.580524344569287,18.439560439560438,0.9548501519147075,0.9521703997390303,0.9423671892790595,0.9429479392852528,0.9326601964506441,True,True,83|8,23|24|29|15,0.955108|0.952170,0.951527|0.942367,0.961151|0.957391|0.953907|0.942948,0.956681|0.950022|0.948723|0.932660
478,102,True,2,35.467684,18|23,18.636704119850187,18.686274509803923,0.9513857905071053,0.9511716155846444,0.9438315532427995,0.9444981495644852,0.9359838211299075,True,True,88|14,34|19|24|25,0.951172|0.952732,0.946915|0.943832,0.955728|0.960661|0.945066|0.944498,0.949830|0.953659|0.935984|0.936339
479,95,True,2,35.611753,18|23,18.580524344569287,18.526315789473685,0.9508380432509257,0.9508002000153084,0.9384525968275033,0.9422282376561276,0.9311441633806586,True,True,85|10,25|17|25|28,0.950800|0.951160,0.946060|0.938453,0.955758|0.956571|0.951662|0.942228,0.950467|0.947079|0.944361|0.931144
480,103,True,2,35.647570,18|24,18.719101123595507,18.640776699029125,0.954561148425285,0.9532743531485012,0.9492065832252375,0.944530094433079,0.9343989525457562,True,True,92|11,26|31|19|27,0.953274|0.965323,0.949207|0.959529,0.964161|0.957605|0.944530|0.948881,0.959116|0.952635|0.934399|0.939896
481,104,True,2,35.330226,18|23,18.56179775280899,18.76923076923077,0.9522934323696963,0.9513251680216672,0.9469159771139601,0.9475906407279865,0.9378575580707673,True,True,88|16,22|26|28|28,0.951325|0.957619,0.946916|0.950939,0.957389|0.955163|0.950328|0.947591,0.952951|0.947956|0.942836|0.937858
482,105,True,2,35.453559,18|23,18.655430711610485,18.666666666666668,0.9534029200939617,0.9514232690338815,0.9407444707107911,0.9468175802725219,0.9376497834347483,True,True,91|14,28|18|37|22,0.953707|0.951423,0.949932|0.940744,0.961217|0.957040|0.949636|0.946818,0.957241|0.948749|0.943118|0.937650
483,101,True,2,35.817449,18|24,18.674157303370787,18.475247524752476,0.9525088249421336,0.9517113888891462,0.9469615695931362,0.9381566894849656,0.924736436574096,True,True,93|8,35|19|27|20,0.951711|0.961779,0.946962|0.952184,0.959795|0.962273|0.946824|0.938157,0.954511|0.954328|0.938093|0.924736
484,90,True,2,35.503502,18|23,18.56179775280899,19.0,0.9533364256731561,0.9531355064393827,0.9445652722153123,0.9478564857462526,0.9401196767441632,True,True,72|18,16|23|22|29,0.953387|0.953136,0.949257|0.944565,0.959449|0.957797|0.947856|0.950583,0.951760|0.952932|0.940120|0.942689
