重复,胜出组数,胜出切点,胜出推荐孕周,胜出平均孕周,胜出最低审计概率,存在安全方案,1组平均孕周,1组安全,2组平均孕周,2组安全,3组平均孕周,3组安全,4组平均孕周,4组安全
361,2,34.721552,14.428571|18.285714,15.064205457463867,0.8908174889466532,True,15.142857142857125,False,15.064205457463867,True,15.021936864633476,True,15.015516318887087,True
362,2,34.440085,14.428571|17.571429,14.922953451043321,0.8916984408563413,True,14.999999999999982,False,14.922953451043321,True,14.91064740502941,True,14.90583199571962,True
363,2,33.850064,14.428571|17.714286,15.26538255751737,0.8903719500196727,True,15.285714285714267,False,15.26538255751737,True,15.177100053504528,True,15.175494917067931,True
364,2,34.315118,14.571429|18.428571,15.163723916532886,0.8941837754953438,True,15.285714285714267,False,15.163723916532886,True,15.163723916532886,True,15.16479400749062,True
365,2,33.210559,14.285714|16.857143,15.094703049759211,0.894883649842112,True,15.142857142857125,False,15.094703049759211,True,15.019261637239147,True,15.009630818619565,True
366,2,34.178550,14.428571|17.857143,15.32744783306579,0.8949531389545775,True,15.42857142857141,False,15.32744783306579,True,15.304975922953432,True,15.308721241305491,True
367,2,35.488419,14.571429|18.857143,15.165329052969485,0.890791448823681,True,15.285714285714267,False,15.165329052969485,True,15.14339218833599,True,15.13964686998393,True
368,2,34.544577,14.428571|17.714286,14.957731407169591,0.8921357331628778,True,14.999999999999982,False,14.957731407169591,True,14.94275013376135,True,14.941680042803622,True
369,2,32.944288,14.142857|16.857143,15.027287319422133,0.8971536841472371,True,15.142857142857125,False,15.027287319422133,True,14.982343499197412,True,14.97645799892989,True
370,2,34.357014,14.285714|18.285714,15.15462814339217,0.8960395087503369,True,15.285714285714267,False,15.15462814339217,True,15.144997324772588,True,15.144997324772588,True
371,2,35.116515,14.571429|18.000000,14.99518459069019,0.8912402238146785,True,15.142857142857125,False,14.99518459069019,True,14.96308186195825,True,14.962011771000517,True
372,2,34.646636,14.428571|18.428571,15.012841091492758,0.8919992391215433,True,15.142857142857125,False,15.012841091492758,True,14.967362225789174,True,14.958801498127324,True
373,2,34.399995,14.285714|18.285714,15.18459069020865,0.8921371020739409,True,15.285714285714267,False,15.18459069020865,True,15.174959871589069,True,15.169074371321544,True
