outer_fold,低BMI周,高BMI周,测试人数,低BMI人数,高BMI人数,平均孕周,总体达标概率,最低审计概率,最低审计层,审计层1,审计层2,审计层3,审计层4,安全通过,审计切点
1,15,24,67,57,10,16.34328358208955,0.9134838229283366,0.9000324660202936,3,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.9479869578535755,True,30.127285|31.724831|33.994467
2,15,24,67,54,13,16.746268656716417,0.929840439609981,0.9122745418383645,1,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.949156680660103,True,30.065446|31.721771|33.538981
3,15,24,66,47,19,17.59090909090909,0.9221910350505733,0.8670286279140509,3,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.956015024028672,False,30.129913|31.640625|33.516868
0,16,16,67,57,10,16.0,0.9241361224871355,0.8574540672971981,4,0.9481461091645063,0.9416058787433611,0.9289524205890989,0.8574540672971981,False,30.153098|31.686783|34.040136
1,16,16,67,57,10,16.0,0.9141786529413952,0.8795767025007222,4,0.9278790796385445,0.9225687430210205,0.917892981467574,0.8795767025007222,False,30.127285|31.724831|33.994467
2,16,16,67,54,13,16.0,0.9247631230261952,0.905129404712204,4,0.9285046845166647,0.9360063272236113,0.9421960806668845,0.905129404712204,True,30.065446|31.721771|33.538981
3,16,16,66,47,19,16.0,0.9013305573827661,0.8541218265924072,4,0.939077681139556,0.9362730697006879,0.8940543773413118,0.8541218265924072,False,30.129913|31.640625|33.516868
0,16,17,67,57,10,16.149253731343283,0.9275855713815514,0.8767134902910204,4,0.9481461091645063,0.9416058787433611,0.9289524205890989,0.8767134902910204,False,30.153098|31.686783|34.040136
1,16,17,67,57,10,16.149253731343283,0.917067613814228,0.8944659623837836,4,0.9278790796385445,0.9225687430210205,0.917892981467574,0.8944659623837836,True,30.127285|31.724831|33.994467
2,16,17,67,54,13,16.19402985074627,0.9282140526263717,0.9151821126779357,4,0.9285046845166647,0.9360063272236113,0.9421960806668845,0.9151821126779357,True,30.065446|31.721771|33.538981
3,16,17,66,47,19,16.28787878787879,0.9094114446111549,0.8773104595086533,4,0.939077681139556,0.9362730697006879,0.8940543773413118,0.8773104595086533,False,30.129913|31.640625|33.516868
0,16,18,67,57,10,16.29850746268657,0.9305906942215522,0.8934920928143583,4,0.9481461091645063,0.9416058787433611,0.9289524205890989,0.8934920928143583,True,30.153098|31.686783|34.040136
1,16,18,67,57,10,16.29850746268657,0.9195486753215126,0.9072529716905582,4,0.9278790796385445,0.9225687430210205,0.917892981467574,0.9072529716905582,True,30.127285|31.724831|33.994467
2,16,18,67,54,13,16.388059701492537,0.9311846797850135,0.9238356787487616,4,0.9285046845166647,0.9360063272236113,0.9421960806668845,0.9238356787487616,True,30.065446|31.721771|33.538981
3,16,18,66,47,19,16.575757575757574,0.9162501767030178,0.8940543773413118,3,0.939077681139556,0.9362730697006879,0.8940543773413118,0.8969346472505207,True,30.129913|31.640625|33.516868
0,16,19,67,57,10,16.44776119402985,0.9331978216418394,0.9080485542442954,4,0.9481461091645063,0.9416058787433611,0.9289524205890989,0.9080485542442954,True,30.153098|31.686783|34.040136
1,16,19,67,57,10,16.44776119402985,0.9216717143822386,0.917892981467574,3,0.9278790796385445,0.9225687430210205,0.917892981467574,0.9181947883881462,True,30.127285|31.724831|33.994467
2,16,19,67,54,13,16.582089552238806,0.9337376317411047,0.9285046845166647,1,0.9285046845166647,0.9360063272236113,0.9421960806668845,0.9312725387947666,True,30.065446|31.721771|33.538981
3,16,19,66,47,19,16.863636363636363,0.921979345056177,0.8940543773413118,3,0.939077681139556,0.9362730697006879,0.8940543773413118,0.9133748694813251,True,30.129913|31.640625|33.516868
0,16,20,67,57,10,16.597014925373134,0.9354508639336973,0.920628040373835,4,0.9481461091645063,0.9416058787433611,0.9289524205890989,0.920628040373835,True,30.153098|31.686783|34.040136
1,16,20,67,57,10,16.597014925373134,0.9234822025278586,0.917892981467574,3,0.9278790796385445,0.9225687430210205,0.917892981467574,0.9275257657540336,True,30.127285|31.724831|33.994467
