重复,多因素减仅BMI_区间负对数评分
586,0.011381491404169492
587,-0.00954955765479507
588,0.009452240549889022
589,0.007047043869986482
590,-0.004583598519957098
591,-0.0007744579076998646
592,0.012932731489216738
593,0.013162576992910714
594,0.03025066885025404
595,-0.02075191066789208
596,-0.004573876056281287
597,-0.004978254969062299
598,-0.007478792694100745
599,-0.003364494086467644
600,0.011790380884835706
601,0.008755331679390379
602,0.0010126487544634226
603,0.025068978620713684
604,0.001887245768123534
605,0.0022239863243290925
606,0.009301399484546833
607,0.004963034084172071
608,0.022198574663416053
609,0.001054442148984544
610,0.00479691887796879
611,-0.0004663853341047115
612,0.008703775604712867
613,0.01830087668663514
614,0.004864962745875761
615,0.0007345009663872782
616,0.0006869931512799871
617,0.0011910209410352008
618,-0.005471335490589353
619,0.021480639213329395
620,0.020836498182626936
621,-0.009026328641073968
622,-0.018456701119292814
623,-0.00046957760720190783
624,0.008914035440445006
625,0.001079521401073381
626,0.010313403069136615
627,-0.006410326393067364
628,-0.011290541149887024
629,-0.012588695551450221
630,0.0059399159979408155
631,0.0035083595908850587
632,0.0065389083565742185
633,-0.025324670560464002
634,0.003852997022553663
635,0.031208350865896288
636,0.007388562405806379
637,0.0049920735325094555
638,-0.008340276803869829
639,0.013760957455492464
640,0.0011235818110509044
641,0.012939573073118554
642,0.008212313705554872
643,0.014587803480998288
644,-0.008301299408929127
645,0.0033999237816033697
646,0.012813662682482822
647,0.01976966265795691
648,-0.0029514005541025
649,-0.0012938892971331418
650,-0.0015404050212883293
651,-0.0024645519608752346
652,-0.0014999392953831
653,0.02362375182897694
654,0.02846893181856543
655,-0.011235446485664154
656,0.003367135080146264
657,-0.005173235251559511
658,0.012820397773896408
659,0.004147329239603303
660,0.02008162784150002
661,-0.003951534798483232
662,0.01164858254751431
663,-0.00684170715719825
664,-0.012593942876533181
665,0.012112804818685747
666,0.003491352715092013
667,0.012426838830680931
668,0.013870493902841199
669,0.01528147713468893
670,0.012553956936467799
671,0.015774385860982502
672,-0.010693907216383578
673,0.012795937083035157
674,0.0025533855156251004
675,0.0292174101561397
676,0.0011694491951651327
677,-0.0047059916356871415
678,-0.0013111354773593098
679,-0.0016686423936485256
680,0.02121880702788219
681,0.00606197080753059
682,0.003191547749413179
683,0.008761624052764776
684,-0.006634536808348086
685,-0.003423657838472169
686,0.01668413103140544
687,0.012859142169040896
688,0.005104372396141447
689,0.015215202916830005
690,-0.02303200151042932
691,-0.0005433228072601169
692,-0.005369227015816829
693,0.010201245841449639
694,-0.005241753098138518
695,-0.0038970202608233596
696,0.009662170629333739
697,0.006918974651563707
698,-0.01619150317409547
699,-0.010925859845758917
700,0.005257781439225075
701,0.021002652500022655
702,0.014164751722814062
703,-0.02170652395224089
704,-0.0008539682974905946
705,0.00032003878114511075
706,-0.0001775949885416672
707,-6.648724595402038e-05
708,0.011054512236248194
709,0.025606600596196356
710,0.012706939839843133
711,0.003268254232406286
712,0.017632725338666434
713,-0.014264833174528037
714,-0.01297563412949448
715,-0.0013199544433706418
716,0.011672142513919058
717,0.014171198281343484
718,-0.007788795213309041
719,-0.02176914721863231
720,-0.008235247784778825
721,0.014795243118432248
722,-0.0029229090729113267
723,0.002167423141608943
724,0.003706684031570009
725,-0.011472578552033671
726,-0.01854593779597461
727,0.004146522404560939
728,0.00967939205089622
729,-0.0031996941992619575
730,0.0009523188507819221
731,0.012881700335781036
732,-0.0158089237299573
733,-0.025680524526167404
734,0.000944717351670745
735,0.005230569647230112
736,0.004879902154403112
737,0.009822890816448897
738,-0.006417820815845608
739,0.01756640702777169
740,0.010316114873586002
741,0.01103195332432666
742,-0.0010355805953531124
743,0.0024274725208903317
744,0.015673105012198704
745,0.0012390450705443408
746,-0.006366994283440499
747,0.015985488349517327
748,0.001620375886434015
749,-0.018702468113731212
750,0.004692356143948124
751,0.006780264705216541
752,0.020506705993608963
753,0.008594004800521063
754,0.004350060787581041
755,0.021460109987819904
756,0.01284222693034388
757,-0.005063302125311405
758,-0.016576976882622538
759,-0.013808627001433524
760,-0.00870086709495722
761,0.026055934388924746
762,-0.000948564788651633
763,0.010300276281934256
764,0.0019039935906833368
765,0.0005214357798519782
766,-0.0020265914409861047
767,0.0012439584968020824
768,-0.007129597268605174
769,-0.005617662890358622
770,-0.001777104817958598
771,0.003291380192742832
772,-0.018662330045054878
773,0.0001779443374697469
774,-0.004405291846946122
775,0.013121774976245802
776,-0.0025983050295819996
777,0.007321260722570599
778,0.015344166463096475
779,0.0012194687427235745
780,-0.007657566369969259
781,-0.0022003575797639174
782,-0.017552243447993224
783,0.0006936751673089378
784,0.008191605513084652
785,-0.006197379794228464
786,-0.012176773814781437
787,0.008255553893007854
788,-0.023013479497158845
789,0.004850299659772641
790,0.005971950280869566
791,0.008129963702059964
792,0.017155904127758855
793,0.001148519107734352
794,-0.00825604997383062
795,0.004455963954662084
796,0.019074111392261537
797,0.0020744513401357717
798,0.010654111824615608
799,0.015183022592496685
800,-0.007789225364820292
801,-0.009082303457451629
802,0.0371854695384434
803,0.01412194800866953
804,0.0160052044940933
805,-0.014972308223514098
806,0.008894206310392184
807,0.002834650152121418
808,0.035724259248658435
809,0.005982272777989121
810,0.0037886702526055815
811,0.018432974114961812
812,-0.011219929983514662
813,0.036266864255503475
814,-0.007836334993167889
815,0.022739992132178016
816,-0.0012224932988385297
817,0.028313236002710008
818,0.021601555775054446
819,0.012093040781763157
820,0.020382749162154747
821,-0.0032421214839668143
822,0.027979332145142092
823,0.006959036752421321
824,-0.014724652641021338
825,0.007017140231886794
826,-0.013399835515060389
827,-0.003636795741879037
828,0.0047342834340441614
829,-0.009535301313848533
830,0.03189604230614355
831,0.02997224948892931
832,-0.0189369575835073
833,0.010019066143154209
834,0.00029156467869818556
835,-0.014631441447822737
836,-0.008725657395804168
837,0.00028219614014479575
838,-0.007960157361313136
839,-0.0028434647580215396
840,-0.014449417738294414
841,-0.004195366233887498
842,0.018653724214384125
843,0.02460256076299731
